id,var_path,var_filename,creator,package_name,version,package_type,predicted_hub_category,predicted_method,predicted_confidence,hub_author,hub_synced_at,matchable_on_hub,miss_mode,predicted_category_correct,actual_hub_category,hub_url_if_found,notes
63065,D:\Games\VAM\AddonPackages\MR.Tree_Static.1.var,MR.Tree_Static.1.var,MR,Tree_Static,1,Asset,Clothing,graph-prop,0.8,matt_.7296,1779144544,,,,Assets + Accessories,https://hub.virtamate.com/resources/static-tree.5493/,"private profile, mismatched username, mismatched package name, on a damn tree"
153,D:\Games\VAM\AddonPackages\AshAuryn.AshAuryn's_Genesis_9_to_G2_Facial_Poses.4.var,AshAuryn.AshAuryn's_Genesis_9_to_G2_Facial_Poses.4.var,AshAuryn,AshAuryn's_Genesis_9_to_G2_Facial_Poses,4,Morph,Plugins + Scripts,graph-prop,0.809057205,,1779143498,,,,,,"Assume it is poses, from my own memory this should be a part of larger scene"
44402,D:\Games\VAM\AddonPackages\murn.RIFTB(patreon).1.var,murn.RIFTB(patreon).1.var,murn,RIFTB(patreon),1,Morph,Scenes,graph-prop,0.900104933,murn.53345,1779124070,,,,Scenes,https://hub.virtamate.com/resources/risk-it-for-the-biscuit.51807/,"not a chance, this is a 5 letter acrynom, but solid guess on package type"
1258,D:\Games\VAM\AddonPackages\LDR.Madison.1.var,LDR.Madison.1.var,LDR,Madison,1,Morph,Looks,graph-prop,0.901780777,,1779144158,,,,Looks,,"[auto:ambiguous-8], removed, LDR has that track record"
63296,D:\Games\VAM\AddonPackages\OOOO.PoolBar.2.var,OOOO.PoolBar.2.var,OOOO,PoolBar,2,Asset,Environments,graph-prop,0.39995019,vam-oooo.106128,1779145380,yes,,,Environments,https://hub.virtamate.com/resources/pool-bar.57324/,[auto:slug-match]
63166,D:\Games\VAM\AddonPackages\Mofme.Textures_UltimatePussy.1.var,Mofme.Textures_UltimatePussy.1.var,Mofme,Textures_UltimatePussy,1,Texture,Hairstyles,graph-prop,0.500007435,,1779145045,,,,,,"Mofme69 is a deleted user, not hairstyles, it's texture"
680,D:\Games\VAM\AddonPackages\Farger.Farger's_Particle_Pack_Volume_1.7.var,Farger.Farger's_Particle_Pack_Volume_1.7.var,Farger,Farger's_Particle_Pack_Volume_1,7,Asset,Plugins + Scripts,graph-prop,0.809057205,farger.40902,1779144816,,,,Assets + Accessories,https://hub.virtamate.com/resources/fargers-particle-pack-vol-1.28614/,awful naming scheme
1312,D:\Games\VAM\AddonPackages\LDR.Norah.1.var,LDR.Norah.1.var,LDR,Norah,1,Morph,Looks,graph-prop,0.796706851,,1779144158,,,,,,LDR again
3699,D:\Games\VAM\AddonPackages\hazmhox.walls101.3.var,hazmhox.walls101.3.var,hazmhox,walls101,3,Mixed,Environments,embed-knn,0.703452697,,1779127309,yes,,,Plugins + Scripts,https://hub.virtamate.com/resources/walls-101.27766/,"[auto:slug-match], it's… both a plugin and an environment"
1545,D:\Games\VAM\AddonPackages\MR.Sun_Particle_System.1.var,MR.Sun_Particle_System.1.var,MR,Sun_Particle_System,1,Asset,Assets + Accessories,embed-knn,0.900043576,,1779144544,yes,,,Assets + Accessories,https://hub.virtamate.com/resources/sun-particle-system.24653/,[auto:slug-match]
150,D:\Games\VAM\AddonPackages\AshAuryn.AshAuryn's_Creator_Tools_Smiles_Teaser.2.var,AshAuryn.AshAuryn's_Creator_Tools_Smiles_Teaser.2.var,AshAuryn,AshAuryn's_Creator_Tools_Smiles_Teaser,2,Morph,Morphs,embed-knn,1,ashauryn.11965,1779143498,,,,Morphs,https://hub.virtamate.com/resources/ashauryns-facial-expression-creator-tools-smiles-pack.24681/,"Long ass name, and renamed post, ash can because ash is a mod"
2209,D:\Games\VAM\AddonPackages\Sex Open World\OPEN Dependencies\SEX SPACE DISCOVERY dependencies\Twerk VR.Avionx_skyboxes.1.var,Twerk VR.Avionx_skyboxes.1.var,Twerk_VR,Avionx_skyboxes,1,Asset,Lighting + HDRI,embed-knn,0.495403493,cutesvetlana.680,1779145100,,,,Assets + Accessories,https://hub.virtamate.com/resources/avionx-skybox-series.2819/,"""Borrowed"" from another author, checked size confirmed same, CuteSvetlana is not Twerk_VR"
2226,D:\Games\VAM\AddonPackages\Shaper.AriVIP.3.var,Shaper.AriVIP.3.var,Shaper,AriVIP,3,Morph,Looks,embed-knn,0.899911647,,1779143858,,,,Looks,,"Never landed on hub, there's Aria on hub but not the same thing"
2856,D:\Games\VAM\AddonPackages\Twerk VR.Images.1.var,Twerk VR.Images.1.var,Twerk_VR,Images,1,Unknown,Textures,embed-knn,0.405486059,,1779145100,,,,Assets + Accessories,,Purely support package for their big project
61927,D:\Games\VAM\AddonPackages\Captain Varghoss.TriggerUI.2.var,Captain Varghoss.TriggerUI.2.var,Captain_Varghoss,TriggerUI,2,Plugin,,,,captain-varghoss.3366,1779144058,yes,,,Plugins + Scripts,https://hub.virtamate.com/resources/triggerui.13624/,[auto:slug-match]
61654,D:\Games\VAM\AddonPackages\14mhz.Plugin-AutoFlutterTongue.5.var,14mhz.Plugin-AutoFlutterTongue.5.var,14mhz,AutoFlutterTongue,5,Plugin,,,,,1779143264,yes,,,Plugins + Scripts,https://hub.virtamate.com/resources/autofluttertongue.48465/,[auto:slug-match]
61656,D:\Games\VAM\AddonPackages\14mhz.Plugin-MeshColliderTongue.5.var,14mhz.Plugin-MeshColliderTongue.5.var,14mhz,MeshColliderTongue,5,Plugin,,,,,1779143264,yes,,,Plugins + Scripts,https://hub.virtamate.com/resources/meshcollidertongue.48545/,[auto:slug-match]
